,Id,Choice,ChoiceWeight
0,18,13,2.0
1,24,13,2.0
2,34,13,3.0
3,90,13,2.0
4,102,13,2.0
5,159,13,1.0
6,223,13,2.0
7,229,13,2.0
8,11,23,2.0
9,257,23,2.0
10,46,23,2.0
11,212,23,2.0
12,106,23,3.0
13,39,23,3.0
14,123,23,2.0
15,149,23,2.0
16,50,18,3.0
17,72,18,3.0
18,227,18,2.0
19,262,18,2.0
20,10,30,1.0
21,19,30,1.0
22,35,30,1.0
23,47,30,2.0
24,52,30,2.0
25,87,30,3.0
26,57,28,2.0
27,74,28,1.0
28,12,32,2.0
29,7,3,3.0
30,37,3,3.0
31,38,3,3.0
32,49,3,3.0
33,79,3,2.0
34,148,3,1.0
35,281,3,1.0
36,31,15,2.0
37,65,15,2.0
38,2,16,3.0
39,59,16,2.0
40,22,4,2.0
41,231,4,2.0
42,75,4,3.0
43,251,4,3.0
44,116,4,2.0
45,117,4,2.0
46,280,4,2.0
47,153,4,2.0
48,85,4,2.0
49,222,4,3.0
50,179,4,3.0
51,180,4,3.0
52,6,8,1.0
53,20,8,3.0
54,26,8,1.0
55,28,8,3.0
56,58,8,2.0
57,89,8,2.0
58,137,8,2.0
59,29,17,2.0
60,30,17,3.0
61,40,17,1.0
62,41,17,1.0
63,55,17,1.0
64,77,17,2.0
65,160,17,2.0
66,258,17,2.0
67,16,10,2.0
68,17,10,3.0
69,161,10,3.0
70,23,10,1.0
71,25,10,3.0
72,272,10,3.0
73,45,10,2.0
74,53,10,2.0
75,60,10,2.0
76,115,10,2.0
77,67,10,3.0
78,76,10,3.0
79,118,10,2.0
80,176,10,3.0
81,8,10,3.0
82,278,10,2.0
83,13,2,1.0
84,54,2,2.0
85,73,2,1.0
86,125,2,1.0
87,4,33,3.0
88,114,33,2.0
89,139,33,2.0
90,146,21,3.0
91,51,1,3.0
92,78,1,2.0
93,124,1,3.0
94,136,1,2.0
95,145,1,1.0
96,173,1,1.0
97,221,1,1.0
98,5,1,1.0
99,261,1,2.0
100,71,6,1.0
101,36,12,1.0
102,21,19,1.0
103,62,19,3.0
104,151,19,3.0
105,33,31,1.0
106,88,31,3.0
107,14,34,1.0
108,86,34,1.0
109,32,34,3.0
110,48,34,2.0
111,66,34,3.0
112,248,34,2.0
113,183,34,2.0
114,1,22,1.0
115,56,22,1.0
116,256,22,2.0
117,169,22,2.0
118,63,11,2.0
119,100,11,2.0
120,119,11,1.0
121,91,11,1.0
122,264,11,1.0
123,9,11,1.0
124,147,0,0.0
125,44,7,3.0
126,279,7,3.0
