id,Name,Choice1,Choice2,Choice3
0,Name_0,0,2,4
1,Name_1,6,7,4
2,Name_2,1,4,0
3,Name_3,5,4,7
4,Name_4,7,5,0
5,Name_5,1,5,0
6,Name_6,1,4,2
7,Name_7,6,7,4
8,Name_8,3,1,6
9,Name_9,7,6,1
10,Name_10,7,2,3
11,Name_11,7,4,3
12,Name_12,0,1,3
13,Name_13,1,6,4
14,Name_14,7,2,3
15,Name_15,7,4,1
16,Name_16,6,3,5
17,Name_17,2,3,6
18,Name_18,1,6,3
19,Name_19,7,5,1
20,Name_20,3,2,5
21,Name_21,7,6,3
22,Name_22,6,7,3
23,Name_23,6,5,2
24,Name_24,7,2,3
25,Name_25,6,1,2
26,Name_26,5,0,7
27,Name_27,4,0,5
28,Name_28,5,1,0
29,Name_29,2,1,7
30,Name_30,0,1,6
31,Name_31,2,4,3
32,Name_32,7,1,6
33,Name_33,4,5,1
34,Name_34,5,1,4
35,Name_35,3,0,6
36,Name_36,3,2,7
37,Name_37,6,7,2
38,Name_38,2,3,5
39,Name_39,6,2,1
